Year,Business Type Code,Business Type Description,Total
2007,R,RELIGIOUS,4
2007,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,555"
1992,P,LIMITED LIABILITY PARTNERSHIP,0
2000,A,LIMITED LIABILITY COMPANY,"23,784"
2011,L,LIMITED PARTNERSHIP,"1,181"
2001,A,LIMITED LIABILITY COMPANY,"24,807"
2017,P,LIMITED LIABILITY PARTNERSHIP,195
1997,L,LIMITED PARTNERSHIP,"1,686"
1998,N,NOT FOR PROFIT,"4,689"
1998,B,BUSINESS,"78,908"
2008,L,LIMITED PARTNERSHIP,"1,579"
1991,R,RELIGIOUS,17
1991,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,0
1999,N,NOT FOR PROFIT,"4,922"
2003,A,LIMITED LIABILITY COMPANY,"39,294"
1999,B,BUSINESS,"82,070"
2002,P,LIMITED LIABILITY PARTNERSHIP,528
2009,R,RELIGIOUS,9
2009,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,634"
2014,P,LIMITED LIABILITY PARTNERSHIP,223
2010,C,COOPERATIVE,9
2004,C,COOPERATIVE,6
2016,R,RELIGIOUS,1
2016,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,988"
1994,A,LIMITED LIABILITY COMPANY,"1,183"
2005,P,LIMITED LIABILITY PARTNERSHIP,421
2015,C,COOPERATIVE,4
2015,P,LIMITED LIABILITY PARTNERSHIP,230
2005,C,COOPERATIVE,5
2004,P,LIMITED LIABILITY PARTNERSHIP,442
2010,P,LIMITED LIABILITY PARTNERSHIP,279
2014,C,COOPERATIVE,8
2000,R,RELIGIOUS,13
2000,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,630
2002,C,COOPERATIVE,4
2012,N,NOT FOR PROFIT,"4,704"
2007,A,LIMITED LIABILITY COMPANY,"56,570"
2012,B,BUSINESS,"72,871"
1993,L,LIMITED PARTNERSHIP,"1,659"
2001,R,RELIGIOUS,8
2001,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,702
2013,L,LIMITED PARTNERSHIP,"1,148"
2009,A,LIMITED LIABILITY COMPANY,"50,134"
2006,L,LIMITED PARTNERSHIP,"1,735"
1994,R,RELIGIOUS,16
1994,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,12
2016,A,LIMITED LIABILITY COMPANY,"94,769"
1991,A,LIMITED LIABILITY COMPANY,0
1995,N,NOT FOR PROFIT,"4,312"
1996,L,LIMITED PARTNERSHIP,"1,740"
1995,B,BUSINESS,"77,528"
2017,C,COOPERATIVE,10
1992,C,COOPERATIVE,14
2003,R,RELIGIOUS,7
2003,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,132"
2004,A,LIMITED LIABILITY COMPANY,"46,414"
2010,A,LIMITED LIABILITY COMPANY,"54,763"
2012,L,LIMITED PARTNERSHIP,"1,214"
1993,B,BUSINESS,"74,616"
2015,A,LIMITED LIABILITY COMPANY,"90,304"
2013,N,NOT FOR PROFIT,"4,942"
1993,N,NOT FOR PROFIT,"4,153"
1994,C,COOPERATIVE,2
2013,B,BUSINESS,"74,766"
2017,R,RELIGIOUS,0
2017,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"2,266"
1992,R,RELIGIOUS,9
1992,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,0
2007,P,LIMITED LIABILITY PARTNERSHIP,316
2003,C,COOPERATIVE,2
1996,B,BUSINESS,"79,725"
2005,R,RELIGIOUS,9
2005,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,310"
1995,L,LIMITED PARTNERSHIP,"1,517"
1996,N,NOT FOR PROFIT,"4,428"
2016,P,LIMITED LIABILITY PARTNERSHIP,206
2009,P,LIMITED LIABILITY PARTNERSHIP,286
2014,R,RELIGIOUS,0
2014,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"2,140"
2000,C,COOPERATIVE,4
2002,R,RELIGIOUS,6
2002,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,828
2006,N,NOT FOR PROFIT,"4,999"
2006,B,BUSINESS,"81,876"
1991,P,LIMITED LIABILITY PARTNERSHIP,0
2001,C,COOPERATIVE,9
1997,N,NOT FOR PROFIT,"4,796"
2001,P,LIMITED LIABILITY PARTNERSHIP,516
2017,A,LIMITED LIABILITY COMPANY,"103,080"
1997,B,BUSINESS,"80,519"
1991,C,COOPERATIVE,4
1992,A,LIMITED LIABILITY COMPANY,0
2008,N,NOT FOR PROFIT,"5,098"
1998,L,LIMITED PARTNERSHIP,"1,455"
2000,P,LIMITED LIABILITY PARTNERSHIP,504
2008,B,BUSINESS,"74,379"
2009,C,COOPERATIVE,8
2010,R,RELIGIOUS,4
2010,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,709"
2004,R,RELIGIOUS,8
2004,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,280"
2011,B,BUSINESS,"70,799"
2016,C,COOPERATIVE,8
2011,N,NOT FOR PROFIT,"4,860"
2015,R,RELIGIOUS,1
2015,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"2,109"
2003,P,LIMITED LIABILITY PARTNERSHIP,480
2007,C,COOPERATIVE,2
2002,A,LIMITED LIABILITY COMPANY,"32,972"
1994,P,LIMITED LIABILITY PARTNERSHIP,294
2005,A,LIMITED LIABILITY COMPANY,"53,285"
2014,A,LIMITED LIABILITY COMPANY,"85,590"
1999,L,LIMITED PARTNERSHIP,"1,395"
1998,P,LIMITED LIABILITY PARTNERSHIP,689
2000,L,LIMITED PARTNERSHIP,"1,558"
1993,R,RELIGIOUS,17
1993,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,0
2001,L,LIMITED PARTNERSHIP,"1,404"
2013,R,RELIGIOUS,0
2013,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"2,108"
2011,A,LIMITED LIABILITY COMPANY,"58,992"
1997,A,LIMITED LIABILITY COMPANY,"13,414"
2017,N,NOT FOR PROFIT,"5,825"
1995,C,COOPERATIVE,28
2017,B,BUSINESS,"79,064"
2008,A,LIMITED LIABILITY COMPANY,"54,137"
1992,N,NOT FOR PROFIT,"3,638"
1992,B,BUSINESS,"71,635"
1996,R,RELIGIOUS,13
1996,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,182
2005,B,BUSINESS,"82,265"
2005,N,NOT FOR PROFIT,"5,019"
2014,N,NOT FOR PROFIT,"5,552"
2003,L,LIMITED PARTNERSHIP,"1,259"
2014,B,BUSINESS,"76,685"
1999,P,LIMITED LIABILITY PARTNERSHIP,605
2002,B,BUSINESS,"82,934"
2012,C,COOPERATIVE,6
2002,N,NOT FOR PROFIT,"4,916"
2006,R,RELIGIOUS,3
2006,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,451"
1994,L,LIMITED PARTNERSHIP,"2,061"
1997,R,RELIGIOUS,11
1997,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,270
2012,P,LIMITED LIABILITY PARTNERSHIP,246
2008,R,RELIGIOUS,5
2008,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,520"
1999,C,COOPERATIVE,5
2007,L,LIMITED PARTNERSHIP,"2,115"
2010,B,BUSINESS,"71,470"
2004,N,NOT FOR PROFIT,"4,985"
2010,N,NOT FOR PROFIT,"4,894"
2004,B,BUSINESS,"84,435"
2015,N,NOT FOR PROFIT,"5,867"
2013,A,LIMITED LIABILITY COMPANY,"76,468"
2011,R,RELIGIOUS,5
2011,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,886"
2015,B,BUSINESS,"77,637"
1993,A,LIMITED LIABILITY COMPANY,0
2006,A,LIMITED LIABILITY COMPANY,"54,126"
2009,L,LIMITED PARTNERSHIP,"1,095"
1995,P,LIMITED LIABILITY PARTNERSHIP,"1,068"
2016,L,LIMITED PARTNERSHIP,"1,087"
1991,L,LIMITED PARTNERSHIP,763
1996,A,LIMITED LIABILITY COMPANY,"10,130"
1998,C,COOPERATIVE,5
2007,B,BUSINESS,"79,506"
2012,A,LIMITED LIABILITY COMPANY,"68,247"
2010,L,LIMITED PARTNERSHIP,"1,085"
2007,N,NOT FOR PROFIT,"5,062"
2004,L,LIMITED PARTNERSHIP,"1,465"
2015,L,LIMITED PARTNERSHIP,"1,162"
2013,P,LIMITED LIABILITY PARTNERSHIP,240
1993,P,LIMITED LIABILITY PARTNERSHIP,0
1998,R,RELIGIOUS,5
1998,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,403
1991,N,NOT FOR PROFIT,"3,142"
1995,A,LIMITED LIABILITY COMPANY,"7,452"
1991,B,BUSINESS,"67,707"
1997,C,COOPERATIVE,7
2006,P,LIMITED LIABILITY PARTNERSHIP,356
2008,C,COOPERATIVE,5
1999,R,RELIGIOUS,10
1999,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,510
2009,B,BUSINESS,"70,142"
2009,N,NOT FOR PROFIT,"4,887"
2011,C,COOPERATIVE,9
2016,B,BUSINESS,"77,866"
1996,P,LIMITED LIABILITY PARTNERSHIP,815
2016,N,NOT FOR PROFIT,"5,565"
1996,C,COOPERATIVE,5
2011,P,LIMITED LIABILITY PARTNERSHIP,271
2017,L,LIMITED PARTNERSHIP,"1,026"
1998,A,LIMITED LIABILITY COMPANY,"17,090"
1992,L,LIMITED PARTNERSHIP,"1,342"
2000,B,BUSINESS,"83,985"
2008,P,LIMITED LIABILITY PARTNERSHIP,299
2012,R,RELIGIOUS,1
2012,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,910"
2000,N,NOT FOR PROFIT,"4,980"
2006,C,COOPERATIVE,11
1997,P,LIMITED LIABILITY PARTNERSHIP,678
2001,N,NOT FOR PROFIT,"4,814"
2001,B,BUSINESS,"79,131"
2002,L,LIMITED PARTNERSHIP,"1,351"
1993,C,COOPERATIVE,7
1994,N,NOT FOR PROFIT,"4,332"
2013,C,COOPERATIVE,11
1994,B,BUSINESS,"75,921"
2005,L,LIMITED PARTNERSHIP,"1,495"
1995,R,RELIGIOUS,11
1995,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,154
2003,N,NOT FOR PROFIT,"5,169"
1999,A,LIMITED LIABILITY COMPANY,"20,491"
2003,B,BUSINESS,"83,267"
2014,L,LIMITED PARTNERSHIP,"1,162"
