Status,As of Date,Federal Agency,Funding Source,Program Description,Project,Project Description,Project Type,County,Municipality,Vendor,Applicant,Route,Direction,Mile Post Start,Mile Post End,Location,Damage Description ,Structure #,Completion Date,FHWA Obligated Amount,Labor Amount,Equipment Amount,Material Amount,Total Cost,Awaiting FHWA Amount,FHWA Reimbursement Amount,Agency Cost,Obligated Amount,Disbursed Amount
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-HUD3,Repair and replacement of electrical and mechanical components of bridge., ,HUDSON,COUNTYWIDE,Hudson County,LOCAL AID,Various,Various,Various,Various,"Movable Bridges - Jackson St Bridge & Harrison/Clay St Bridge, East Newark over Passaic River",Water Damage to bridge's electrical systems and switches., ,08/16/2013,475500.00,,,,475500.00,,475500.00,0.00,475500.00,475500.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-HUD4,Repair traffic signals and traffic signal electrical systems throughout Secaucus on Federal Aid Routes., ,HUDSON,COUNTYWIDE,Hudson County,LOCAL AID,Various,Various,Various,Various,Various,Damaged traffic signals and traffic signal electrical systems throughout Secaucus on Federal Aid Routes., ,,16413.36,,,,16413.36,,16413.36,0.00,16413.36,16413.36
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-HUD5,"Repair to traffic signal heads, rotated mast arms and damaged wiring.", ,HUDSON,"NORTH BERGEN, UNION CITY",Hudson County,LOCAL AID,CR-501 & CR-691,Various,Various,MP 34.22,"John F. Kennedy Blvd. CR 501 at 32nd Street CR-691, MP 34.22","Damage to traffic signal heads, rotated mast arms and damaged wiring.", ,,8951.08,,,,8951.08,,8951.08,0.00,8951.08,8951.08
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-JC1,Repair and replace damaged traffic signal components. Replace damaged signs and sign posts., ,HUDSON,COUNTYWIDE,Hudson County,LOCAL AID,Various,Various,Various,Various,Jersey City,Traffic Signs and Signals, ,,635520.00,,,,635520.00,,635520.00,0.00,635520.00,635520.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON1,Scour4 and embankment protection. Replace bulkhead sheeting. Fender Repair., ,MONMOUTH,"BELMAR BOROUGH, AVON-BY-THE-SEA BOROUGH",Monmouth County,LOCAL AID,CR 18,Various,Various,Various,"CR 18, Structure No W-43","Structural damage, erosion, water intrusion and inundation of sand and debris deposition due to storm surge, wind, and off-track vehicles", ,,,53439.44,4399.50,10000.00,736107.96,736107.96,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON3,"Repair seawall, clean out and repair drainage system, remove and reconstruct asphalt, and damaged sidewalk.", ,MONMOUTH,"SPRING LAKE BOROUGH, BELMAR BOROUGH",Monmouth County,LOCAL AID,18,Various,2,2,Co Rt 18 (Ocean Ave) @ MP 2.0,"Damages to seawall, drainage system, roadway, and sidewalk", ,,,,,,106000.00,106000.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON4,Stabilize embankment and repair damaged pavement., ,MONMOUTH,MIDDLETOWN TOWNSHIP,Monmouth County,LOCAL AID,CR 12,Various,0.3,0.3,MT-24 on CR 12 @ MP 0.3,"Debris overtopping causing damages to guide rail, timber walkway, undermine of pavement and washout of embankment.", ,,,,,,1099400.00,1099400.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON5,"Repair sidewalk slab, replace missing bridge rail. Place rip-rap and fill.", ,MONMOUTH,DEAL BOROUGH,Monmouth County,LOCAL AID,Various,Various,1.45,1.45,Bridge O-19 MP 1.45,"Damage of sidewalk slab on bridge, missing bridge rail along west side of bridge, loss fill.", ,,,,,,183287.09,183287.09,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON8,"Replace guide rail, backfill eroded banks with stone", ,MONMOUTH,OCEANPORT BOROUGH,Monmouth County,LOCAL AID,33,Various,1.73,1.73,Co Bridge E-18 on Co Rt 33 MP 1.73,"Damage to guide rail, backfill eroded banks with stone", ,,,,,,39000.00,39000.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MON9,Repair damage to wall at tie points with trash rack repair damages to sluice gate building, ,MONMOUTH,"LONG BRANCH CITY, LOCH ARBOUR VILLAGE",Monmouth County,LOCAL AID,Ocean Ave,Various,1.04,1.04,Bridge N-29 on Ocean Ave MP 1.04,Damage to wall at tie points with trash rack repair damages to sluice gate building, ,,,,,,13862.17,13862.17,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-MOR1,Repair and replace damaged traffic signal components., ,MORRIS,LONG HILL TOWNSHIP,Morris County,LOCAL AID,CR 512,Various,13.6,23.1,"County Route 512, Valley Road & Main Avenue intersection (Mile Post 23.1), Valley Road & Mountain Avenue intersection (Mile Post 13.6), Long Hill Township.","High winds from Hurricane Sandy caused two (2) fuses to burn as well as two (2) 69 Watt bulbs and two (2) 135 Watt bulbs. Aluminum visor was missing at Main Ave. The traffic light at the intersection with Mountain Ave. was blown completely free from its supports, and damaged beyond repair; replacement of the traffic light was required.", ,02/22/2013,,,,,7618.00,7618.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-OCE1,Repair and replace damaged traffic signal components., ,OCEAN,COUNTYWIDE,Ocean County,LOCAL AID,Various,Various,Various,Various,Various locations (64) on Federal Aid Routes throughout Ocean County. (See attachment which includes a spreadsheet and FHWA-1547 forms used for accounting purposes for each location.),Damaged traffic signals and traffic signs throughout county on Federal Aid Routes., ,11/26/2013,,15283.66,14331.05,78836.60,108451.31,108451.31,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-OCE2,Excavate area and place fill. Replace damaged concrete at bridge. Mill and pave roadway. Replace damaged guide rail. Repair sidewalk. Replace pier navigation lights and proximity switch., ,OCEAN,"BRICK TOWNSHIP, MANTOLOKING BOROUGH",Ocean County,LOCAL AID,Mantoloking Road,Various,39.64,39.64,Mantoloking Road/Herbert Street @ MP 39.64 - Structure # 1506-006,"Complete washout of Eastside approach roadway leading up to bridge. Undermining of NE & SE approach roadway retaining walls. Electrical damage including pier navigation lights and warning gate light/switch assemblies. Roadway repair, riprap placement, retaining wall stabilization, and electrical repair.",1506-006,,,109411.38,98832.02,102444.15,310687.55,310687.55,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-OCE3,Repair pier navigation lights and replace safety switch assembly components., ,OCEAN,"BRICK TOWNSHIP, POINT PLEASANT BOROUGH",Ocean County,LOCAL AID,Beaver Dam Road,Various,3.16,3.16,Beaver Dam Road @ MP 3.16 - Structure # 1506-002,Electrical damage to pier navigation lights and safety switch assembly with components. Replacement of pier navigation lights and safety switch assembly.,1506-002,05/07/2013,,4930.00,,9895.94,14825.94,14825.94,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-OCE4,Repair and replace damaged traffic signal components., ,OCEAN,COUNTYWIDE,Ocean County,LOCAL AID,"35, 37",Various,Various,Various,"State Highway Route 37 and Route 35. Intersections with Central Ave, Fielder Ave., 6th Ave. (North), 3rd Ave., Carmel Ave., Kittywake Ave., Strickland Ave. (South), Second Ave., Strickland Ave. (North), Kittywake Ave. (South), Douglas St. and 6th Ave. (So","Opticom equipment that suffered water and wind damage during Super Storm Sandy. Damage occurred to relay panels, wiring, heads, and card racks.", ,,,,,81925.20,81925.20,81925.20,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-OCE5,"Excavate area and place fill. Replace damaged concrete at bridge, roadway and sidewalk.", ,OCEAN,BAY HEAD BOROUGH,Ocean County,LOCAL AID,Bridge Avenue,Various,5.96,5.96,Bridge Avenue @ MP 5.96 - Structure #1502-001,Undermining of the approach roadway sidewalk at northeast and northwest bridge corners.,1502-001,04/04/2013,,4416.96,2745.80,1887.05,9049.81,9049.81,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-OCE6,"Excavate area and place fill. Replace damaged concrete at bridge, and roadway.", ,OCEAN,POINT PLEASANT BEACH BOROUGH,Ocean County,LOCAL AID,CR 4,Various,1.66,1.66,"Broadway, County Route 4 @ MP 1.66 - Structure #1525-001",Undermining of concrete slope protection at south east corner bulkhead,1525-001,12/19/2012,,3206.56,3107.80,1111.63,7425.99,7425.99,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-OCE7,"Embankment repairs, placement of rip-rap at eroded areas.", ,OCEAN,LAVALLETTE BOROUGH,Ocean County,LOCAL AID,Pershing Boulevard,Various,7.0000000000000007E-2,7.0000000000000007E-2,Pershing Blvd @ MP 0.07 - Structure # 1515-001,Severe damage and undermining of east abutment concrete slope protection. Undermining of East Abutment bulkhead sheeting. Remove damaged concrete slope protection slabs and core several holes in sound slabs and inject grout to fill voids. Install rip-rap with filter fabric in place of damaged slope protection.,1515-001,06/06/2013,,8369.80,5621.00,4690.00,18680.80,18680.80,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-SAL1,Repair embankment and roadway., ,SALEM,PENNSVILLE TOWNSHIP,Salem County,LOCAL AID,CR 551,Various,2.85,2.85,"Hook Rd., County Route 551 @ MP 2.85",500 ft of shoulder erosion on west side of Rt 551, ,11/01/2012,,350.00,849.00,11374.50,15073.00,15073.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-SOM1,"Replaced signal heads, signal monitors, visors, UPS, cabinet including all electronics and monitor, controllers, camera power supplies and camera brackets at various locations", ,SOMERSET,COUNTYWIDE,Somerset County,LOCAL AID,Various,Various,Various,Various,"Co Rt 514, 518, 525, 533, 601, 612, 613, 619, 636, 651, & 637","Replaced signal heads, signal monitors, visors, UPS, cabinet including all electronics and monitor, controllers, camera power supplies and camera brackets at various locations", ,11/21/2012,,21028.88,5765.63,39040.00,65834.51,65834.51,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-SOM2,Replaced segments of beam guide rail due to damages caused by downed trees at various locations., ,SOMERSET,COUNTYWIDE,Somerset County,LOCAL AID,Various,Various,Various,Various,"Co Rt 616, 529, 651, 527, 525, 518, 652, 533, 512, & 567",Replaced segments of beam guide rail due to damages caused by downed trees at various locations, ,02/22/2013,,25855.92,11025.00,6103.76,42984.68,42984.68,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-UNI1,Cleared site. Removed debris. Repaired guide rail. Provided maintenance and protection of traffic., ,UNION,COUNTYWIDE,Union County,LOCAL AID,Various,Various,Various,Various,"County Routes throughout Watchung Reservation. CR 512, CR 527, CR 622, CR 642 CR 643, CR 644, CR 645.",Cleared site. Removed debris. Repaired guide rail. Provided maintenance and protection of traffic., ,10/02/2013,,,,,74559.32,74559.32,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-UNI2,Repair and replace damaged traffic signal components., ,UNION,WESTFIELD TOWN,Union County,LOCAL AID,Various,Various,Various,Various,"Broad St. & Euclid Ave. (County Route 512),Broad St. & Elm Ave. (County Route 512), Summit Ave & South Ave. (County Route 610).","Damage consisted of damaged wiring, spun heads, and damaged signals.", ,12/10/2012,,,,,10020.00,10020.00,,,,
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-UNI3,Repair and replace damaged traffic signal components., ,UNION,LINDEN CITY,Union County,LOCAL AID,Various,Various,Various,Various,"Intersections: Park Ave. & Elizabeth Ave. (County Route 619), Stiles St. & Elizabeth Ave. (County Route 619), Wood Ave. & Elizabeth Ave. (County Routes 617 & 619), Linden Ave and Stiles Street (County Routes 514 & 608), and Park Ave. & Grier Ave.","Damaged wiring, spun heads, and damaged signals.", ,11/07/2012,,,,,15276.41,15276.41,,,,
